NAME,CZ,LOGMSTAR,LOGMH,RADEG,DEDEG,GRPCZ,CCR,CCB
ECO00743,6642.8,8.93,14.01,180.807,19.965,6701.6,1.36,1.14
ECO00744,6507.7,9.13,12.4,197.042,18.375,6496.7,1.46,1.0
ECO00745,6453.4,8.89,11.56,180.533,20.494,6631.7,1.26,1.0
ECO00746,5356.4,8.71,10.75,212.35,17.946,5356.4,1.5,1.0
ECO00747,4967.4,8.67,10.77,213.486,17.884,4967.4,1.37,1.0
ECO00748,6271.9,9.07,13.85,202.404,11.462,6822.9,1.24,1.0
ECO00749,6571.8,8.53,13.73,178.417,20.787,6651.3,1.29,1.0
ECO00750,6754.5,8.69,10.75,199.862,20.422,6754.5,1.5,1.0
ECO00751,6402.5,8.31,10.75,180.395,16.212,6402.5,1.6,1.0
ECO00752,6544.6,8.65,10.78,175.677,16.606,6544.6,1.41,1.0
ECO00753,6723.6,8.59,10.84,198.776,16.752,6723.6,1.25,1.0
ECO00754,6122.1,8.77,11.22,172.169,17.232,6131.5,1.09,1.0
ECO00755,6975.8,8.69,10.75,199.908,16.27,6975.8,1.52,1.0
ECO00756,6600.0,8.69,11.21,175.794,17.336,6627.8,1.33,1.0
ECO00757,6615.3,8.59,10.77,198.225,17.154,6615.3,1.45,1.0
ECO00758,5255.2,8.47,11.18,211.365,12.232,5258.3,1.37,1.0
ECO00759,6406.3,8.49,10.78,159.408,16.859,6406.3,1.34,1.0
ECO00760,6941.0,8.55,10.78,170.418,16.127,6941.0,1.45,1.0
ECO00761,5842.0,8.47,11.17,177.871,18.582,5873.8,1.53,1.0
ECO00762,2908.1,8.63,10.77,196.846,17.791,2908.1,1.46,1.0
ECO00763,6719.9,8.67,10.79,199.021,16.506,6719.9,1.38,1.0
ECO00764,6462.5,8.55,10.78,198.644,16.888,6462.5,1.43,1.0
ECO00765,6737.1,8.69,10.75,197.245,18.329,6737.1,1.52,1.0
ECO00766,6008.7,8.37,10.76,177.311,19.362,6008.7,1.56,1.0
ECO00767,6172.9,8.47,14.19,175.804,19.613,6266.8,1.45,1.0
ECO00768,5260.4,9.35,11.2,176.906,20.15,5260.4,1.09,1.0
ECO00769,6787.4,8.47,10.78,176.392,20.009,6787.4,1.52,1.0
ECO00770,6206.5,9.29,14.01,181.043,20.206,6701.6,1.1,1.14
ECO00771,6516.9,8.53,12.09,177.926,20.661,6802.6,1.54,1.0
ECO00772,6657.6,9.09,13.73,178.201,20.619,6651.3,1.21,1.0
ECO00773,6920.6,9.11,12.11,176.401,20.99,6719.0,1.06,1.0
ECO00774,6631.0,9.49,12.11,176.563,21.024,6719.0,1.07,1.0
ECO00775,6544.9,8.51,11.65,184.739,2.991,6546.7,1.51,1.0
ECO00776,5596.4,8.51,10.9,130.188,30.479,5596.4,1.17,1.0
ECO00777,4369.5,8.53,10.77,130.19,13.707,4369.5,1.51,1.0
ECO00778,3072.7,8.55,11.55,180.452,29.955,3075.6,1.36,1.0
ECO00779,6287.6,8.41,10.74,180.614,40.82,6287.6,1.6,1.0
ECO00780,4319.6,8.41,10.77,135.967,47.331,4319.6,1.5,1.0
ECO00781,6753.6,8.95,10.76,181.172,1.997,6753.6,1.47,1.0
ECO00782,6418.4,8.75,12.4,181.536,36.874,6319.8,1.38,1.0
ECO00783,3865.7,8.65,12.24,182.283,29.466,3844.2,1.48,1.0
